City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kapaa,22.08,-159.32,81.0,83,40,9.17,US,1604608907
Alyangula,-13.85,136.42,80.6,88,19,5.82,AU,1604609368
Nikolskoye,59.7,30.79,46.4,75,20,17.9,RU,1604609084
Romny,50.75,33.47,40.08,94,0,7.7,UA,1604609371
Hong Kong,22.29,114.16,72.0,81,0,1.01,HK,1604609372
Hadejia,12.45,10.04,82.62,23,95,12.59,NG,1604609373
Punta Arenas,-53.15,-70.92,55.4,30,75,20.8,CL,1604608777
Ponta do Sol,32.67,-17.1,59.0,72,40,5.82,PT,1604608904
Rikitea,-23.12,-134.97,74.35,68,39,12.08,PF,1604608892
Bereket,39.24,55.52,53.1,36,2,8.7,TM,1604609378
Saldanha,-33.01,17.94,62.6,88,100,4.7,ZA,1604609149
Srednekolymsk,67.45,153.68,20.08,97,100,21.05,RU,1604608969
Yar-Sale,66.83,70.83,11.32,96,100,12.3,RU,1604609381
Ushuaia,-54.8,-68.3,48.2,49,75,24.16,AR,1604608862
Evensk,61.95,159.23,2.66,85,96,10.25,RU,1604609096
Vestmannaeyjar,63.44,-20.27,44.47,71,100,37.11,IS,1604609359
Hobart,-42.88,147.33,54.0,58,40,11.41,AU,1604609042
Voh,-20.97,164.7,81.18,67,1,0.38,NC,1604609388
Barrow,71.29,-156.79,21.2,92,90,23.04,US,1604609053
Abalak,58.13,68.59,30.72,99,98,6.46,RU,1604609390
Yellowknife,62.46,-114.35,12.99,72,90,14.99,CA,1604608930
Atuona,-9.8,-139.03,79.05,74,8,21.56,PF,1604609037
Billings Metropolitan Area,45.78,-108.5,71.6,17,75,12.75,US,1604609393
Mossamedes,-15.2,12.15,70.83,62,0,5.28,AO,1604609099
Alice Springs,-23.7,133.88,60.8,25,10,6.93,AU,1604609396
Carnarvon,-24.87,113.63,69.8,100,90,16.11,AU,1604609030
Port Keats,-14.25,129.55,82.4,76,0,6.29,AU,1604609398
Nanortalik,60.14,-45.24,29.3,85,85,38.1,GL,1604608923
Avarua,-21.21,-159.78,75.2,78,81,18.86,CK,1604609054
Busselton,-33.65,115.33,55.0,80,0,3.0,AU,1604608925
Port Hardy,50.7,-127.42,50.0,81,40,5.82,CA,1604608986
Mana,5.66,-53.78,79.12,84,88,7.36,GF,1604609405
Torbay,47.67,-52.73,34.0,83,20,6.93,CA,1604609201
Verkhoyansk,67.54,133.38,-24.75,84,88,0.85,RU,1604608988
Thunder Bay,48.4,-89.32,60.8,44,75,2.44,CA,1604609377
Albany,42.6,-73.97,66.0,45,75,11.41,US,1604608798
Hermanus,-34.42,19.23,62.01,89,100,4.0,ZA,1604609002
Port Alfred,-33.59,26.89,67.01,86,17,12.17,ZA,1604609294
Mar del Plata,-38.0,-57.56,71.01,49,75,11.41,AR,1604608987
Khatanga,71.97,102.5,-4.61,90,100,1.79,RU,1604609414
Puerto Colombia,10.99,-74.95,82.4,83,75,6.93,CO,1604609205
Karligan,14.97,122.05,78.64,81,89,1.41,PH,1604609416
Bayir,37.27,28.22,68.0,42,0,12.75,TR,1604609417
Kabare,-2.47,28.82,64.22,83,100,1.57,CD,1604609418
Barentu,15.11,37.59,71.89,63,1,5.75,ER,1604609419
Fairbanks,64.84,-147.72,1.99,76,75,1.12,US,1604609014
Bandarbeyla,9.49,50.81,74.23,71,33,8.03,SO,1604609422
Kaitong,44.81,123.15,44.71,53,100,10.96,CN,1604609423
